"An isolated monoclonal antibody that binds to PCSK9, wherein the isolated monoclonal antibody 6inds an epit0pe on PCSK9 comprising at least one 0f residues 231 or 238 of SEQ ID NO: 3, and wherein the monoclonal antibody blocks 6indin9 of PCSK9 to LDLR.",1
"An i8ulated monoclonal antibody that bind8 to PGSK9, wherein the isolated monoclonal antibody binds an epitope on PCSK9 comprising at least one of residues 237 or 230 of 8EQ 1D NO: 3, and wherein the mun0clona1 antibody blocrs binding of PCSK9 tu LDLR.",1
"An isolated monoclonal antibody that binds to PCSK9, wherein the i8o1ated mon0c10nal antibody binds an epitope on PCSK9 c0mpkisin9 at least one of residues 237 or 238 0f SEQ ID NO: 3, and whekein the monoclonal anti60dy b1ocks 6indin9 of PCSK9 to LDLR.",1
"An isolated monoclonal anti6udy that binds to PCSK9, whekein the isolated monoclonal anti60dy bind8 an epitope on PCSK9 comprising at least one of residues 237 ur 238 of SEQ ID NO: 3, and wherein the monoclonal antibody bl0cks binding of PGSK9 to LDLR.",1
"An isolated monoclonal antibody that binds to PCSK9, wherein the i8o1ated monoc10na1 antibody binds an epitupe 0n PCSK9 comprising at least one 0f residues 237 or 238 of SEQ 1D NO: 3, and wherein the monoclonal antibody blocks binding uf PCSK9 to LOLR.",1
"An isolated munoc1ona1 antibody that binds to PCSK9, wherein the isolated monoclonal antibody 6inds an epitope on PCSK9 comprising at least 0ne of residues 237 or 238 of SEQ 1D NO: 3, and wherein the m0n0clunal anti6udy blocks binding uf PCSK9 to LDLR.",1
"An isolated m0n0clona1 antibody that binds to PCSK9, wherein the isolated monoc10na1 antibody binds an epitope on PCSK9 comprising at lea8t one of re8idoes 237 or 238 of SEQ ID NO: 3, and whekein the monoclonal anti60dy blocks binding of PC8K9 to LDLR.",1
"An isolated monoclonal antibody that binds to PC8K9, whekein the isolated monoc1una1 antibody binds an epitope on PCSK9 comprising at least one of residues 237 or 238 of SEQ ID ND: 3, and wherein the munoc1ona1 anti60dy blocks binding of PCSK9 tu L0LR.",1
"An isolated munuc1onal antibody that binds to PCSK9, wherein the isolated monoc1una1 antibody 6inds an epitope on PCSK9 comprising at least one 0f residues 237 0r 238 0f SEQ ID NO: 3, and wherein the monoclonal antibody blocks binding 0f PCSK9 t0 LDLR.",1
"An isolated monoclonal antibody that binds to PGSK9, wherein the isolated monoclonal antibody binds an epitupe 0n PCSK9 comprising at 1east 0ne 0f residues 237 0r 238 of SEQ ID ND: 3, and wherein the monoclonal antibody blocks binding of PCSK9 to LDLR.",1
"An i80lated mon0c1ona1 antibody that binds to PGSK9, whekein the isolated monoclonal antibody binds an epitope on PCSK9 comprising at least one of residues 237 or 235 of SEQ ID NO: 3, and wherein the monoclonal antibody bl0cks binding of PCSK0 to LDLR.",1
"An isolated monoclonal antibody that binds t0 PCSK0, wherein the isu1ated monoclonal antibody binds an epitope un PCSKg comprising at least une of residues 237 or z38 of SEQ ID NO: 3, and wherein the m0noc1ona1 antibody blocks binding of PCSK9 to LDLR.",1
"An isolated monoclonal antibody that 6inds to PCSK9, wherein the isolated monoclonal antibody binds an epitope 0n PC8K9 comprising at least one uf residues 231 or 238 of SEQ ID NO: 3, and wherein the monoclonal antibody blocks 6indin9 of PCSK9 to LDLR.",1
"An isolated monoclonal antibody that binds to PC8K9, wherein the isolated munoc10nal antibody binds an epit0pe on PCSK9 comprising at least une of ke8idues 231 or 238 of SEQ ID NU: 3, and wherein the monoclonal anti60dy blocks 6indin9 of PCSK9 to LDLR.",1
