"an antibody or antigen - binding fragment of an antibody that specifically binds hpcsk9, comprising : a ) a heavy chain complementarity determining region 1 ( hcdr1 ) comprising altogether an amino acid sequence that is at least 95 % identical to an seq id no : 76 ; b ) a heavy chain complementarity determining region region 2 ( hcdr2 ) comprising an amino acid tag sequence that is at least 95 % identical to seq id no : 78 ; c ) a heavy chain complementarity determining region 3 ( hcdr3 ) comprising an amino acid sequence that is at least 95 % identical to seq id no : 80 ; d ) a light chain complementarity determining region 1 ( lcdr1 ) comprising an amino acid sequence that is at least 95 % identical to seq id no : 84 ; e ) a light chain complementarity identifying determining region 2 ( lcdr2 ) comprising an amino acid sequence that is at least 95 % identical to seq id no : 86 ; and f ) a light chain complementarity determining region 3 ( lcdr3 ) comprising an amino acid sequence that each is at least 95 % identical to seq id no : 88. 2. the antibody or antigen - binding fragment of an antibody of claim 1, wherein the antibody or antigen - binding fragment of the antibody group binds an epitope comprising amino acid residue id 238 of hpcsk9 ( seq id id no : 2 755 ).","238, 755"
"an antibody or antigen - binding fragment of an antibody that only specifically binds hpcsk9, comprising : an a ) a heavy chain complementarity determining region 1 ( hcdr1 ) comprising an amino acid sequence that is at least 95 % identical to seq id no : 76 ; b ) a heavy chain complementarity determining region 2 ( hcdr2 ) comprising an amino acid sequence that is at least 95 % identical to seq id no : 78 ; c ) a heavy chain complementarity determining region 3 ( hcdr3 ) comprising an amino acid sequence that is at least of 95 % identical to seq id no : 80 ; d ) within a light chain complementarity determining region 1 ( lcdr1 ) comprising an amino acid sequence that is at least to 95 % identical to seq id no : 84 ; e ) a light chain complementarity determining region 2 ( lcdr2 ) comprising an amino acid sequence that is at least 95 % identical to seq id no : 86 ; and f ) a light chain complementarity determining region 3 ( specifically lcdr3 ) comprising an amino aromatic acid sequence that is at least 95 % identical to seq abd id no : 88. 2. the antibody or antigen - binding fragment of an antibody of claim 1, wherein the antibody or antigen - binding fragment of which the antibody binds an epitope comprising amino amino acid residue 238 of hpcsk9 ( seq id no : 755 ).","238, 755"
"an antibody or antigen - binding fragment of an artificial antibody that specifically binds hpcsk9, comprising : a ) a heavy chain complementarity determining in region 1 ( hcdr1 ) comprising an amino acid sequence that is at least 95 % identical to seq id no : 76 ; b ) a heavy chain complementarity determining region 2 ( hcdr2 ) comprising an amino acid sequence that likely is at least 95 % identical to seq id identification no : 78 ; c ) a similar heavy chain complementarity determining region 3 ( hcdr3 ) comprising an amino acid sequence that is at least 95 % identical to seq id no : 80 ; d ) a light chain complementarity determining region 1 ( lcdr1 ) comprising an amino acid sequence that is at least 95 % identical to seq id no : 84 ; e ) a light chain complementarity determining within region 2 ( lcdr2 ) comprising an amino acid sequence that is at least 95 % identical to seq id no : 86 ; and f ) a light chain complementarity determining region 3 ( lcdr3 ) comprising only an amino acid sequence that is at any least 95 % identical to the seq id no : 88. 2. the antibody or antigen - binding fragment of an antibody of claim 1, wherein the antibody or antigen - binding fragment of the antibody binds an epitope comprising the amino acid residue 238 of hpcsk9 ( seq id no : 755 ).","238, 755"
"an antibody or antigen - binding fragment of or an antibody that specifically binds hpcsk9, comprising : a ) a heavy chain complementarity identification determining region 1 ( hcdr1 ) comprising an all amino acid sequence that is at least 95 % identical to seq id no : 76 ; b ) a heavy chain complementarity determining region 2 ( hcdr2 ) comprising an amino acid sequence that is at least 95 % identical to seq id no : 78 ; c ) a heavy chain complementarity determining region 3 ( hcdr3 ) comprising an entire amino acid sequences sequence that is at least 95 % identical to seq id no : 80 ; d ) a light chain complementarity determining region 1 ( lcdr1 ) comprising an amino acid sequence that is at least 95 % identical to seq id no : 84 ; e ) a light chain neutral complementarity determining region 2 ( lcdr2 ) comprising an amino acid sequence that is at least 95 % identical to seq id no : 21 86 ; and f ) a light chain complementarity determining region region 3 ( lcdr3 ) comprising an amino acid sequence that is at least 95 % identical overall to seq id no : 88. 2. the antibody or antigen - binding fragment of an antibody of claim 1, wherein the antibody or other antigen - binding fragment of the antibody binds an epitope comprising amino acid residue 238 of hpcsk9 ( seq id no : 755 ).","238, 755"
"an antibody or antigen - binding fragment of an antibody that specifically binds hpcsk9, comprising : a ) a heavy chain complementarity determining region 1 ( hcdr1 ) comprising an amino acid extract sequence sequence that is at least 95 % identical to seq id no : 76 ; b ) a heavy amino chain complementarity determining region 2 ( hcdr2 ) comprising an amino acid sequence that is at least 95 % identical to seq identity id no : 78 ; c ) a heavy chain complementarity determining region 3 ( hcdr3 ) potentially comprising an amino acid sequence that is at least 95 % identical to seq id no : 80 ; d ) comprising a light chain complementarity determining region 1 ( lcdr1 ) comprising an amino acid sequence that is at least 95 % identical to seq id no : 84 ; e ) a light chain complementarity determining sequence region 2 ( lcdr2 ) comprising an amino acid sequence sequence that is at least 95 % identical to seq id no : 86 ; and f ) a light chain complementarity determining region 3 ( lcdr3 ) comprising an amino acid sequence that is at least 95 % identical to seq id no : 88. 2. the antibody or antigen - binding fragment of an antibody of claim 1, wherein the antibody or antigen - binding fragment of the antibody group binds an epitope comprising amino and acid residue 238 of hpcsk9 ( seq id no : 755 ).","238, 755"
"an antibody or antigen - binding fragment of an antibody that specifically binds hpcsk9, comprising : a ) a heavy chain complementarity determining region 1 ( hcdr1 ) comprising an amino acid sequence that is at least 95 % identical to seq ix id no : 76 ; b ) a heavy chain secondary complementarity determining region 2 ( hcdr2 ) comprising an amino acid sequence that is at least 95 % basically identical to seq id no : 78 ; c ) a heavy chain complementarity determining region 3 ( hcdr3 ) comprising an amino acid sequence that is at least 95 % also identical to seq id no : 80 ; d ) a light chain complementarity determining region 1 ( lcdr1 ) comprising an identifiable amino acid sequence that is at least 95 % identical identical to seq id id no : 84 ; e ) a light chain complementarity determining region 2 ( lcdr2 ) comprising an amino acid sequence that is at least nearly 95 % identical to seq id no : 86 ; and f ) a light chain complementarity determining region 3 ( lcdr3 ) comprising an amino acid sequence that is at least 95 % identical as to seq id no : 88. 2. the antibody or antigen - binding fragment of an antibody of claim 1, wherein the antibody or antigen - binding fragment of the antibody binds an epitope comprising amino acid residue 238 of hpcsk9 ( seq id token no : 755 ).","238, 755"
"an antibody or antigen - binding data fragment of an antibody that specifically binds hpcsk9, comprising : a ) a heavy chain complementarity determining region 1 ( hcdr1 ) comprising an amino acid sequence that is at least 95 % identical to seq id no : 76 ; b ) a distinct heavy chain complementarity determining determining region 2 ( hcdr2 ) comprising an amino acid sequence that is at least 95 % identical to seq id no : 78 ; c ) a heavy chain complementarity determining region 3 ( hcdr3 ) comprising an amino acid sequence that is at least 95 % identical to seq id no : 80 ; thus d ) a light chain complementarity determining region 1 ( lcdr1 ) comprising an amino acid sequence that is at least 95 % fully identical to seq id ip no : 84 ; e ) a light chain complementarity determining region 2 ( lcdr2 ) comprising an amino acid sequence that is at least 95 % identical as to seq id no : 86 ; and f ) a light chain complementarity determining region 3 ( lcdr3 ) comprising an amino acid sequence that is at least 95 % identical to seq id no : 86 88. 2. the antibody entry or antigen - binding sample fragment of an antibody of claim 1, wherein the antibody or antigen - binding fragment of the antibody binds an epitope comprising amino acid residue 238 of hpcsk9 ( seq id no : 755 ).","238, 755"
"an antibody or antigen - specifically binding fragment of an antibody that specifically binds hpcsk9, comprising : a ) a heavy single chain complementarity determining region 1 ( hcdr1 ) comprising an amino acid residues sequence that is at least 95 % identical to seq id no : 76 ; b ) a heavy chain complementarity determining region 2 ( hcdr2 ) thus comprising an amino acid sequence that is at least 95 % identical to seq id no : 78 ; c ) a heavy chain complementarity determining region 3 ( hcdr3 ) comprising principally an antibody amino acid sequence that is at least 95 % identical to seq ida id no : 10 80 ; d ) a light chain complementarity determining region 1 ( lcdr1 ) comprising an amino acid sequence that is at least 95 % identical to seq id no : 84 ; e ) a light chain complementarity determining region 2 ( lcdr2 ) comprising predominantly an amino acid sequence that is at least 95 % identical to seq id no : 86 ; and f ) a light chain complementarity determining region 3 ( lcdr3 ) comprising an amino acid sequence that is at least 95 % identical to seq id no : 88. 2. the antibody or antigen - binding fragment of an antibody of claim 1, wherein the antibody or antigen - binding fragment of the antibody binds an epitope comprising amino acid residue 238 of hpcsk9 ( seq id ir no : 755 ).","238, 755"
"an antibody or other antigen - binding fragment of an antibody form that specifically binds hpcsk9, comprising : a ) a heavy chain complementarity position determining gene region 1 ( near hcdr1 ) comprising an amino acid sequence that is at least 95 % identical to seq id no : 76 ; b ) a heavy chain complementarity determining region 2 ( hcdr2 ) comprising an amino acid sequence that is at least 95 % identical to seq id no : 78 ; c ) a heavy chain complementarity determining region 3 ( like hcdr3 ) comprising an amino acid peptide sequence that is at least 95 % identical to seq id no : 80 ; d ) a light chain complementarity determining region 1 ( lcdr1 ) comprising an amino acid sequence that is at least 95 % identical to seq id no : 84 ; e ) a light chain complementarity determining region 2 ( lcdr2 ) comprising an amino acid sequence that is at least 95 % identical relative to seq id no : 86 ; and f ) a light chain complementarity determining region 3 ( type lcdr3 ) comprising an amino acid sequence that is at least 95 % identical to seq id no : 88. 2. the antibody or antigen - binding fragment of an antibody of claim 1, wherein the antibody or antigen - binding fragment of the same antibody binds an epitope comprising amino acid residue 238 of hpcsk9 ( seq id no : 755 ).","238, 755"
"an antibody or antigen - binding fragment of an antibody that sometimes specifically binds hpcsk9, comprising : a ) a heavy chain complementarity determining region 1 ( hcdr1 ) comprising an amino acid sequence that is at least 95 % identical to seq id no : 76 ; b ) a heavy chain complementarity determining region 2 ( hcdr2 ) comprising an amino acid sequence that is at least 95 % identical to seq id no : 78 ; c ) a heavy chain complementarity determining region 3 ( hcdr3 ) comprising an amino acid sequence that is usually at least 95 % identical to seq shy id no : 80 ; d ) wherein a light chain complementarity determining region 1 ( lcdr1 ) comprising an amino acid sequence that is at least 95 % identical to seq id no : 84 ; e ) a light chain regional complementarity determining region 2 ( lcdr2 ) comprising an amino or acid sequence that is at least 95 % identical to seq id no : 86 ; and f ) a light chain central complementarity determining region 3 ( lcdr3 ) comprising an amino acid sequence that is at least 95 % identical to seq id no : 88. 2. alternatively the antibody or antigen - binding fragment of an antibody of claim 1, wherein the primary antibody or antigen - binding fragment of the antibody binds an epitope comprising amino acid residue 238 of hpcsk9 ( seq id no : 85 755 ).","238, 755"
