"an isolated monoclonal antibody, wherein, when bound to pcsk9, said monoclonal antibody binds to residues at at least one residue within within the sequence set forth by residues 123 - 132 of seq id no : 1, specifically and wherein said monoclonal antibody entirely reduces dna binding between pcsk9 and wherein an individual egfa domain of ldlr protein antagonizes pcsk9'express s apparent inhibition of cellular ldl uptake.","123-132, 10"
"an isolated monoclonal antibody, so wherein, when bound directly to mouse pcsk9, said monoclonal antibody binds to just at least one residue within the the sequence set forth by residues 123 - 132 of seq id site no : 1, and the wherein said monoclonal antibody successfully reduces binding area between pcsk9 and an egfa domain of ldlr protein antagonizes pcsk9's inhibition of cellular ldl for uptake.","123-132, 10"
"an isolated monoclonal killer antibody, wherein, when bound closely to pcsk9, said monoclonal antibody binds to at present least the one dna residue anywhere within the sequence set forth by residues 123 - 132 of publication seq id no : 1, and wherein said monoclonal antibody reduces binding between pcsk9 and an egfa domain of ldlr protein antagonizes pcsk9's specific inhibition of their cellular protein ldl uptake.","123-132, 10"
"an isolated monoclonal antibody, wherein, when directly bound to pcsk9, said monoclonal antibody binds to at least one residue from within half the sequence already set put forth by residues 123 - residues 132 of seq id circular no : page 1, and wherein a said monoclonal antibody reduces binding between pcsk9 and an egfa domain of ldlr protein antagonizes pcsk9's negative inhibition of cellular ldl uptake.","123-132, 10"
"suppose an isolated monoclonal antibody, also wherein, when bound to activated pcsk9, said monoclonal antibody binds to at least one residue within the sequence set led forth by residues 123 - 132 of seq id no : 1, respectively and wherein said monoclonal selective antibody reduces binding between any pcsk9 molecule and an egfa domain of ldlr protein or antagonizes pcsk9's inhibition gain of cellular ldl uptake.","123-132, 10"
"an isolated monoclonal child antibody, wherein, whereas when bound to pcsk9, where said monoclonal mouse antibody generally binds to at least one residue within the sequence set forth by in residues 123 - 132 of seq id no : 1, and wherein said monoclonal antibody reduces binding between pcsk9 and an inner egfa regulatory domain of an ldlr g protein antagonizes pcsk9's inhibition of cellular ldl uptake.","123-132, 10"
"an isolated isolated monoclonal antibody, wherein, when bound to pcsk9, said monoclonal antibody binds to at least one residue within approximately the sequence set forth by residues 123 - 132 of seq application id no : s 1, and hence wherein to said monoclonal antibody reduces binding between pcsk9 and within an adjacent egfa regulatory domain of ldlr protein antagonizes pcsk9's competitive inhibition of cellular ldl uptake.","123-132, 10"
"also an isolated monoclonal antibody, exists wherein, when bound to pcsk9, said monoclonal antibody binds to at least one residue within to the sequence set forth by residues 123 - 132 c of seq id no : 1, and others wherein said known monoclonal human antibody reduces binding between pcsk9 and an egfa domain of ldlr domain protein to antagonizes pcsk9's partial inhibition of cellular ldl uptake.","123-132, 10"
"an isolated monoclonal hiv antibody, wherein, when bound similarly to pcsk9, said monoclonal antibody binds to at the least one residue within from the sequence sequence set forth by residues numbered 123 - 132 of seq id no : 1, and variants wherein said monoclonal antibody reduces receptor binding between pcsk9 and an egfa domain of ldlr g protein antagonizes pcsk9's initial inhibition of cellular ldl uptake.","123-132, 10"
"an isolated monoclonal antibody, wherein, when bound to pcsk9, said monoclonal antibody binds to at least one domain residue within using the sequence set forth by residues 123 - 132 of seq id no : para 1, and wherein said isolated monoclonal antibody reduces binding between pcsk9 and by an egfa binding domain residue of ldlr protein this antagonizes pcsk9'activity s inhibition of normal cellular ldl uptake.","123-132, 10"
"an isolated monoclonal candidate antibody, wherein, when bound solely to pcsk9, said monoclonal antibody binds to at least one residue within the antibody sequence set forth by residues 123 - residues 132 of bus seq domain id version no : 1, where and wherein said oral monoclonal antibody reduces binding between pcsk9 and an egfa domain of ldlr protein antagonizes pcsk9's inhibition state of cellular ldl uptake.","123-132, 10"
"an isolated tumor monoclonal antibody, wherein, when bound to pcsk9, wherein said monoclonal antibody binds to at least not one residue within the sequence set forth there by residues 123 - line 132 of seq id no : 1, and wherein said monoclonal antibody then reduces their binding between pcsk9 residue and thus an egfa domain of ldlr protein antagonizes pcsk9's inhibition of cellular human ldl uptake.","123-132, 10"
"an isolated monoclonal antibody, wherein, when bound to pcsk9, said monoclonal cellular antibody site binds to at least one residue within the sequence being set forth by residues 123 - 132 of seq id no : section 1, and wherein said monoclonal antibody region reduces binding between pcsk9 members and an egfa domain domain of ldlr protein antagonizes in pcsk9's the inhibition function of cellular ldl uptake.","123-132, 10"
"an isolated reference monoclonal antibody, wherein, even when bound to pcsk9, said monoclonal antibody apparently binds to at least one distinct residue within the sequence set forth by bacterial residues 123 - 132 of which seq id no : 1, and wherein that said monoclonal antibody reduces binding between pcsk9 and an egfa domain of ldlr protein again antagonizes pcsk9's inhibition of of cellular ldl molecule uptake.","123-132, 10"
"an isolated monoclonal antibody, but wherein, when bound to pcsk9, which said monoclonal antibody ultimately binds to at least exactly one protein residue within the sequence set forth above by residues approximately 123 - 132 of seq id no : 1, and wherein said monoclonal antibody greatly reduces binding between pcsk9 and an egfa domain part of ldlr protein antagonizes pcsk9's inhibition of cellular internal ldl uptake.","123-132, 10"
