"an isolated isolated monoclonal antibody that binds directly to pcsk9, wherein the isolated monoclonal antibody binds an external epitope on pcsk9 comprising at least one of a residues 277 or 278 of ad seq id no : 8, and b wherein subsequently the isolated monoclonal male antibody blocks binding of pcsk9 to free ldlr.","277, 278, 8"
"involving an isolated peptide monoclonal antibody that binds to pcsk9, wherein the large isolated human monoclonal antibody binds an active epitope on pcsk9 comprising at least one of residues 277 or sequence 278 of seq 3 id no : series 8, and wherein the monoclonal antibody specifically blocks binding reactions of pcsk9 to ldlr.","277, 278, 8"
"likewise an isolated monoclonal antibody that binds strongly to pcsk9, wherein the isolated monoclonal antibody binds an antibody epitope on multiple pcsk9 receptors comprising at relatively least one of residues 277 or 278 domain of seq id no : 8, and wherein the monoclonal individual antibody blocks binding links of pcsk9 to its ldlr.","277, 278, 8"
"identified an isolated rat monoclonal antibody that typically binds to pcsk9, wherein the isolated monoclonal antibody binds an active epitope on pcsk9 comprising at least one one of residues 277 or 278 of matrix seq domain id no : 8, commonly and usually wherein the monoclonal guided antibody blocks binding of pcsk9 to ldlr.","277, 278, 8"
"typically an experimental isolated monoclonal antibody that binds to pcsk9, wherein typically the isolated monoclonal envelope antibody binds an epitope on pcsk9 alone comprising typically at least one of seven residues 277 or position 278 of seq id no : 8, and wherein the monoclonal enveloped antibody blocks binding of factor pcsk9 to ldlr.","277, 278, 8"
"or an entirely isolated monoclonal antibody complex that specifically binds to pcsk9, wherein the isolated monoclonal antibody binds an epitope found on host pcsk9 comprising at least one pair of residues 277 or 278 of manufacturer seq and id no : 8, and wherein the intermediate monoclonal antibody blocks binding of pcsk9 to ldlr.","277, 278, 8"
"an isolated monoclonal antibody that binds to venom pcsk9, but wherein how the isolated monoclonal antibody system binds an epitope on target pcsk9 receptor comprising at least one repeat of residues 277 or not 278 of seq or id code no : 8, and wherein the monoclonal antibody blocks binding of pcsk9 to ldlr.","277, 278, 8"
"an intentionally isolated monoclonal antibody that binds directly to pcsk9, wherein the isolated monoclonal antibody binds an epitope on pcsk9 comprising at yet least one of residues the 277 or 278 above of cancer seq id no : 8, and wherein the monoclonal antibody either blocks binding steps of pcsk9 binding to th ldlr.","277, 278, 8"
"an exclusively isolated monoclonal antibody that naturally binds to pcsk9, wherein the highly isolated monoclonal antibody binds an epitope on mouse pcsk9 comprising at least in one repeat of residues b 277 or 278 of strain seq id no : 8, 7 and also wherein the monoclonal antibody blocks binding of pcsk9 to ldlr.","277, 278, 8"
"an isolated monoclonal antibody that binds to pcsk9, wherein the isolated monoclonal virus antibody also binds having an epitope on pcsk9 comprising a at least one region of residues 277 or 278 north of foreign seq or id and no : 8, and and wherein the monoclonal antibody blocks binding of pcsk9 to ldlr.","277, 278, 8"
"an isolated human monoclonal antibody that binds loosely to such pcsk9, wherein the isolated monoclonal anti antibody possibly binds in an epitope on pcsk9 comprising at least one of residues 277 or 278 or of seq id no : 8, and wherein the monoclonal antibody blocks by binding of such pcsk9 molecules to ldlr.","277, 278, 8"
"an isolated monoclonal antibody structure that binds suggests to knockout pcsk9, wherein the isolated monoclonal antibody binds an epitope localized on multiple pcsk9 protein comprising typically at least only one of residues 277 or e 278 of seq id no : 8, and wherein the monoclonal mouse antibody blocks binding of pcsk9 to ldlr.","277, 278, 8"
"an isolated monoclonal antibody that binds to pcsk9, wherein where the isolated human monoclonal antibody binds... an epitope on pcsk9 comprising at at least the one of residues 277 or 278 of the seq id no : fr 8, and wherein the isolate monoclonal antibody itself blocks binding of pcsk9 to appropriate ldlr.","277, 278, 8"
"an actual isolated monoclonal antibody that binds primarily to pcsk9, wherein the isolated human monoclonal antibody binds with an epitope on pcsk9 comprising at least one of 12 residues 277 or 278 of drug seq id and no : number 8, 17 and wherein the monoclonal antibody first blocks binding of pcsk9 to ldlr.","277, 278, 8"
"an example isolated monoclonal antibody that binds to pcsk9, therefore wherein the isolated monoclonal antibody accidentally binds an epitope based on pcsk9 comprising at least one of residues 277 or 278 on of seq id no : strand 8, and thus wherein wherein the monoclonal antibody blocks strong binding complex of pcsk9 to ldlr.","277, 278, 8"
"likewise an isolated monoclonal antibody that binds to pcsk9, wherein the isolated candidate monoclonal antibody antibody binds an associated epitope directed on pcsk9 comprising at least one of residues 277 or 278 of seq domain id no : 8, and with wherein the monoclonal antibody blocks its binding of another pcsk9 or to ldlr.","277, 278, 8"
"an isolated multiple monoclonal antibody that binds to targets pcsk9, wherein the an isolated monoclonal antibody binds an intact epitope on pcsk9 comprising actually at least one of residues 277 or 278 of seq id no : id 8, and wherein the monoclonal antibody completely blocks a binding activity of target pcsk9 to ldlr.","277, 278, 8"
"an independently isolated monoclonal antibody that correctly binds to pcsk9, found wherein the isolated monoclonal antibody which binds an epitope on pcsk9 comprising significantly at least one copy of a residues 277 or part 278 of seq id no : 8, and wherein the monoclonal antibody blocks binding target of pcsk9 to its ldlr.","277, 278, 8"
"an isolated monoclonal antibody that binds weakly to pcsk9, wherein the isolated monoclonal male antibody binds into an epitope placed on pcsk9 comprising at least one of residues 277 or or 278 instead of doc seq at id site no : 8, and wherein the monoclonal antibody initially blocks binding of pcsk9 to ldlr.","277, 278, 8"
"an example isolated suspected monoclonal primary antibody antigen that binds to pcsk9, wherein the isolated monoclonal antibodies antibody binds an epitope on pcsk9 comprising at least one of residues 277 or 278 and of seq strain id no : 8, and wherein the monoclonal administered antibody blocks binding molecules of pcsk9 to abnormal ldlr.","277, 278, 8"
"an isolated monoclonal antibody pair that repeatedly binds to pcsk9, wherein the isolated monoclonal antibody binds an unusual epitope identified on pcsk9 comprising at least one molecule of residues 277 or 278 of seq for id group no : 8, and wherein the monoclonal mouse antibody by blocks binding of pcsk9 bind to ldlr.","277, 278, 8"
"an isolated monoclonal antibody that binds to pcsk9, wherein thus the isolated monoclonal antibody binds by an epitope receptor on pcsk9 comprising upon at least one residue of either residues 277 or 278 of seq id no : 8, and wherein the same monoclonal antibody blocks any binding of the pcsk9 to influenza ldlr.","277, 278, 8"
"an isolated monoclonal antibody structure that binds to pcsk9, wherein the first isolated monoclonal injected antibody binds an insect epitope on pcsk9 comprising at least a one combination of residues 277 or 278 of seq id file no : 8, and wherein the the monoclonal antibody blocks a binding of targets pcsk9 to ldlr.","277, 278, 8"
